Inspecting Command,Inspecting Organization,Inspecting Organization Description,Inspected Command,Inspected Organization,Inspected Organization Description,Inspection Type,Inspection Name,Inspection Note,Start Inspection Date,End Inspection Date,Publish Date,Corrective Action Suspense Date,Deficiency Close Date,Deficiency Fix Rate (# of days),Deficiency Tracking Number,Deficiency Description,Functional Area,Impact,Deficiency Status,Item Category,Item Index and Item Name,Deficiency Severity,OPR,OCR,MAJCOM FAM OPR,HHQ,Repeat,Unit Identified,PFW&A,Reference,Countermeasure ECD,Countermeasure OPR,Countermeasure Status,Countermeasure Text,Assigned Root Cause (RC),Primary or Contributing RC?,RC Deficiency Code(s) (AFI 90-201)
AFSPC,144 FW,195 W,ANG,Unit 14,Unit 14,UEI,cras mi pede malesuada,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien,11/7/2014,4/19/2014,3/14/2015,8/17/2015,3/7/2015,376,85.222.203.40,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",A8,luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus,Accepted,SUB-CATEGORY,1.4.3.1 Root Casue Name,Critcal,Michelle West,David Welch,,TRUE,FALSE,FALSE,FALSE,670-81-7737,7/9/2015,Norma Chavez,Complete,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris,Contributing,RS1 Program shortfall (Air Force level) 
ACC,146 AMW,195 W,ANG,Unit 76,Unit 76,UEI,porta volutpat erat,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non,10/1/2014,7/20/2014,8/8/2014,7/17/2015,7/25/2015,350,146.252.83.213,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,A6,nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti,Implemented,SUB-CATEGORY,1.4.1.3 Root Casue Name,Significant,Ruth Reid,Ronald Butler,,TRUE,FALSE,FALSE,FALSE,751-70-5107,3/22/2015,Shirley Evans,Not Started,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus,orci nullam molestie nibh in lectus pellentesque,Primary,RS2 Program shortfall (MAJCOM level) 
AETC,129 RQW,129 RQW,ANG,Unit 8,Unit 8,CCIP,natoque penatibus et magnis,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum,2/27/2015,4/29/2015,1/26/2015,12/4/2014,5/27/2015,361,127.133.200.182,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",A8,turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi,Cancelled,SUB-CATEGORY,1.2.2.3 Root Casue Name,Minor,Julie Kim,Tammy Fox,,FALSE,FALSE,FALSE,TRUE,974-70-1947,4/19/2015,Katherine Franklin,Complete,odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut,Contributing,RS3 Program shortfall (wing/installation level) 
AMW,129 RQW,163 RW,ANG,Unit 79,Unit 79,UEI,sapien in sapien iaculis,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris,2/3/2014,8/13/2014,5/30/2015,7/10/2015,7/3/2015,395,56.97.79.199,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",A5,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed,Open,SUB-CATEGORY,1.1.4.2 Root Casue Name,Critcal,Rebecca Carpenter,Ruth Thomas,,FALSE,TRUE,FALSE,FALSE,362-21-8183,6/19/2015,Janice Mason,In Progress,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus,velit donec diam neque vestibulum,Contributing,RS4 Parent unit withheld funding 
AFSPC,144 FW,146 AMW,ANG,Unit 83,Unit 83,UEI,sapien a libero nam,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices,6/3/2014,11/14/2014,10/30/2014,11/7/2015,9/10/2015,16,38.3.232.8,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",A6,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus,Closed,SUB-CATEGORY,1.2.3.4 Root Casue Name,Significant,Charles Washington,Paula Graham,,FALSE,TRUE,FALSE,FALSE,356-74-0527,3/18/2015,Ralph Cooper,In Progress,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non,nulla ultrices aliquet maecenas leo odio condimentum id luctus,Contributing,RS5 Assigned personnel less than accepted CONUS/OCONUS manning averages 
AMW,195 W,146 AMW,ANG,Unit 86,Unit 86,UEI,est donec odio,sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin,4/5/2014,8/1/2015,11/11/2015,10/3/2015,6/23/2015,18,227.25.234.56,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,A4,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer,Open,SUB-CATEGORY,1.2.1.4 Root Casue Name,Significant,Sandra Ellis,David Wilson,,TRUE,TRUE,FALSE,TRUE,314-25-4361,10/5/2015,Stephen Romero,Not Started,auctor gravida sem praesent id massa id nisl venenatis lacinia,at feugiat non pretium quis lectus suspendisse potenti,Primary,RS6 Insufficient personnel due to TDY/deployment 
ACC,195 W,195 W,ANG,Unit 50,Unit 50,CCIP,sem mauris laoreet ut rhoncus,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem,12/12/2013,12/26/2014,6/26/2014,9/16/2015,11/7/2015,17,139.195.82.194,In congue. Etiam justo. Etiam pretium iaculis justo.,A4,consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac,Accepted,SUB-CATEGORY,1.1.3.4 Root Casue Name,Significant,Joan Payne,Wayne Williamson,,FALSE,FALSE,TRUE,TRUE,193-94-0943,11/4/2015,Robert Wright,Not Started,porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo,vitae quam suspendisse potenti nullam porttitor lacus at turpis,Primary,RS7 Insufficient personnel due to medical profile 
AMW,163 RW,144 FW,ANG,Unit 99,Unit 99,UEI,phasellus id sapien in,dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam,11/29/2014,6/26/2015,5/12/2015,10/29/2015,8/6/2015,370,120.69.28.145,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",A10,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet,Cancelled,SUB-CATEGORY,1.1.2.4 Root Casue Name,Significant,Ruth Little,Willie Carr,,TRUE,TRUE,TRUE,FALSE,146-13-5308,5/3/2015,Walter Simpson,In Progress,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,lectus in quam fringilla rhoncus,Contributing,RS8 Insufficient personnel due to validated installation augmentee requirements shortfall 
AETC,129 RQW,146 AMW,ANG,Unit 51,Unit 51,CCIP,odio odio elementum,ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec,12/19/2014,9/7/2014,9/11/2015,1/29/2015,2/9/2015,317,102.123.132.68,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",A4,velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat,Accepted,SUB-CATEGORY,1.3.2.1 Root Casue Name,Critcal,Douglas Campbell,Carol Miller,,FALSE,TRUE,TRUE,TRUE,730-91-4865,8/11/2015,Aaron Collins,Complete,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id,morbi vestibulum velit id pretium iaculis diam erat fermentum justo,Contributing,RS9 Awaiting security clearance 
ACC,195 W,129 RQW,ANG,Unit 21,Unit 21,UEI,eros suspendisse accumsan,quisque erat eros viverra eget congue eget semper rutrum nulla nunc,4/25/2014,4/19/2014,6/2/2014,12/15/2014,5/16/2015,391,142.237.41.161,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",SE,etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non,Accepted,SUB-CATEGORY,1.2.2.3 Root Casue Name,Minor,Bruce Miller,Angela Perkins,,TRUE,TRUE,TRUE,TRUE,811-91-9849,8/5/2015,Lisa Jacobs,In Progress,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer,nisi vulputate nonummy maecenas tincidunt lacus,Contributing,RS10 Awaiting resupply 
AMW,195 W,146 AMW,ANG,Unit 5,Unit 5,UEI,congue risus semper porta,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit,9/26/2014,11/9/2014,4/1/2015,9/16/2015,5/11/2015,383,154.169.156.238,Phasellus in felis. Donec semper sapien a libero. Nam dui.,A3,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris,Pending,SUB-CATEGORY,1.4.3.3 Root Casue Name,Minor,Joe Gonzalez,Tammy Murray,,TRUE,TRUE,FALSE,FALSE,286-45-2280,3/19/2015,Betty James,In Progress,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam,ipsum primis in faucibus orci luctus et ultrices posuere cubilia,Primary,RS11 Not requisitioned 
AMW,146 AMW,129 RQW,ANG,Unit 70,Unit 70,CCIP,curae donec pharetra,diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo,3/17/2014,4/7/2014,5/25/2015,5/30/2015,9/13/2015,418,27.205.77.8,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",SE,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,Cancelled,SUB-CATEGORY,1.3.2.4 Root Casue Name,Critcal,Gerald Morgan,Anthony Fisher,,FALSE,FALSE,TRUE,FALSE,633-30-2564,1/16/2015,Evelyn Ramirez,In Progress,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc,erat volutpat in congue etiam justo,Primary,RS12 Maintenance 
AMW,195 W,129 RQW,ANG,Unit 89,Unit 89,UEI,erat volutpat in congue,libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis,11/28/2014,1/28/2015,10/30/2014,5/10/2015,12/2/2014,35,72.72.71.217,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",SG,proin leo odio porttitor id consequat in consequat ut nulla sed accumsan,Cancelled,SUB-CATEGORY,1.1.3.3 Root Casue Name,Critcal,Joshua Cunningham,Denise Welch,,TRUE,FALSE,FALSE,TRUE,202-07-1428,11/17/2014,Anthony Moreno,Complete,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur,non quam nec dui luctus rutrum nulla tellus,Contributing,RS13 Deployed 
ACC,195 W,163 RW,ANG,Unit 8,Unit 8,CCIP,massa donec dapibus duis,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non,4/23/2015,8/28/2015,4/19/2015,12/19/2014,3/12/2015,384,51.248.127.209,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,SG,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec,Closed,SUB-CATEGORY,1.3.1.2 Root Casue Name,Minor,Paul Boyd,Teresa Owens,,FALSE,FALSE,TRUE,TRUE,140-46-3222,8/17/2015,Mark Payne,In Progress,elit proin interdum mauris non ligula pellentesque ultrices phasellus id,orci pede venenatis non sodales sed tincidunt eu,Contributing,RS14 Insufficient personnel due to PRP certification/requirements 
ACC,144 FW,195 W,ANG,Unit 23,Unit 23,UEI,ipsum ac tellus,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat,10/21/2014,2/15/2014,10/26/2015,10/15/2015,4/21/2015,213,131.123.208.145,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",A4,nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur,Closed,SUB-CATEGORY,1.2.1.2 Root Casue Name,Minor,Kelly Holmes,Deborah Carter,,FALSE,TRUE,TRUE,FALSE,151-88-0114,2/18/2015,James Burton,In Progress,vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula,amet eros suspendisse accumsan tortor quis turpis,Contributing,SE1 Flight Safety Program management inadequate 
AMW,146 AMW,195 W,ANG,Unit 12,Unit 12,CCIP,sem mauris laoreet,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,3/4/2015,4/23/2014,10/8/2014,1/9/2015,2/4/2015,499,119.77.32.143,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,SE,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit,Proposed,SUB-CATEGORY,1.4.1.3 Root Casue Name,Critcal,Antonio Hawkins,Jean Owens,,FALSE,TRUE,TRUE,TRUE,360-45-2890,6/1/2015,Ruth Peters,Complete,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas,quis orci nullam molestie nibh,Primary,SE2 Selected aspects of flight safety program not effectively implemented
ACC,195 W,195 W,ANG,Unit 46,Unit 46,UEI,tellus semper interdum mauris,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum,11/29/2014,5/1/2015,6/19/2015,10/19/2015,11/16/2014,168,211.224.105.150,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",A9,sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi,Cancelled,SUB-CATEGORY,1.3.2.2 Root Casue Name,Significant,Gerald Day,Doris Ford,,FALSE,FALSE,FALSE,TRUE,726-39-3687,3/9/2015,Gregory Williamson,In Progress,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus,nulla pede ullamcorper augue a suscipit nulla elit ac,Contributing,SE3 Flight Safety Supervisory support inadequate 
AFSPC,146 AMW,129 RQW,ANG,Unit 60,Unit 60,CCIP,luctus et ultrices posuere,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in,1/31/2015,2/27/2014,11/16/2013,6/8/2015,12/13/2014,233,52.195.202.122,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",A4,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque,Accepted,SUB-CATEGORY,1.1.4.3 Root Casue Name,Significant,Denise Nguyen,Matthew Moreno,,TRUE,TRUE,TRUE,TRUE,512-18-9661,7/17/2015,Tina Garza,In Progress,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi,dis parturient montes nascetur ridiculus,Contributing,SE4 Ground Safety Program management inadequate 
AMW,146 AMW,195 W,ANG,Unit 60,Unit 60,CCIP,scelerisque quam turpis adipiscing,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel,7/3/2014,5/28/2014,4/20/2014,11/16/2014,4/20/2015,262,29.47.161.147,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,A9,at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio,Pending,SUB-CATEGORY,1.1.1.3 Root Casue Name,Significant,Bruce Peters,Nicole Gonzalez,,FALSE,FALSE,FALSE,TRUE,267-97-8928,9/12/2015,Benjamin Sims,In Progress,et tempus semper est quam pharetra magna ac consequat metus,venenatis tristique fusce congue diam,Primary,SE10 Weapons Safety Program management inadequate 
AFSPC,129 RQW,163 RW,ANG,Unit 66,Unit 66,CCIP,blandit mi in,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices,3/15/2014,12/3/2013,2/7/2015,12/14/2014,1/10/2015,169,236.118.52.62,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,A10,felis donec semper sapien a libero nam dui proin leo,Accepted,SUB-CATEGORY,1.4.1.1 Root Casue Name,Significant,David King,Irene Ryan,,FALSE,TRUE,TRUE,TRUE,356-80-0019,11/12/2015,Kenneth Fields,Complete,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis,enim blandit mi in porttitor pede,Primary,SE11 Selected aspects of weapons safety program not effectively implemented 
ACC,129 RQW,195 W,ANG,Unit 83,Unit 83,UEI,parturient montes nascetur ridiculus,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia,1/23/2014,7/29/2014,1/3/2014,7/12/2015,4/12/2015,697,141.157.202.159,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",SE,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat,Closed,SUB-CATEGORY,1.4.3.1 Root Casue Name,Significant,Daniel Parker,Ruth Coleman,,FALSE,FALSE,FALSE,FALSE,234-39-4191,9/5/2015,Willie Jacobs,Not Started,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu,non velit nec nisi vulputate nonummy maecenas tincidunt,Primary,SE12 Weapons Safety Supervisory support inadequate 
AMW,146 AMW,195 W,ANG,Unit 59,Unit 59,UEI,faucibus orci luctus,eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante,12/23/2014,11/28/2013,5/28/2015,9/28/2015,5/15/2015,536,222.254.142.45,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,A1,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis,Accepted,SUB-CATEGORY,1.1.1.3 Root Casue Name,Significant,Douglas Washington,Roger Lopez,,FALSE,TRUE,TRUE,FALSE,361-51-2951,12/25/2014,Brian Day,In Progress,aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien,est congue elementum in hac habitasse platea,Contributing,TR1 Training Program management inadequate 
AFSPC,195 W,129 RQW,ANG,Unit 87,Unit 87,CCIP,aliquet at feugiat,eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus,1/31/2014,10/8/2014,9/1/2015,1/13/2015,6/5/2015,516,237.202.89.197,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",A8,vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus,Open,SUB-CATEGORY,1.3.1.2 Root Casue Name,Minor,Ralph Oliver,Lillian Gutierrez,,TRUE,TRUE,FALSE,FALSE,312-78-8139,3/10/2015,Alice Coleman,Complete,varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices,nulla neque libero convallis eget eleifend luctus,Contributing,TR2 Training guidance/policy/procedures inadequate 
AETC,144 FW,195 W,ANG,Unit 54,Unit 54,UEI,tristique est et tempus semper,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar,5/15/2014,2/6/2015,12/11/2014,9/24/2015,3/30/2015,491,164.10.230.179,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",A5,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at,Proposed,SUB-CATEGORY,1.4.1.3 Root Casue Name,Critcal,Frank Stevens,Angela Washington,,TRUE,TRUE,TRUE,FALSE,103-45-8547,12/22/2014,Karen Jacobs,In Progress,hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id,velit donec diam neque vestibulum eget vulputate,Contributing,TR3 Training oversight inadequate 
AETC,144 FW,129 RQW,ANG,Unit 5,Unit 5,CCIP,sapien non mi integer,sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus,2/8/2015,3/16/2014,7/21/2014,4/22/2015,4/8/2015,194,50.94.208.108,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",A7,in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt,Proposed,SUB-CATEGORY,1.2.3.2 Root Casue Name,Minor,Debra Fox,Ruby Nguyen,,TRUE,TRUE,FALSE,TRUE,839-42-1136,5/22/2015,Sarah Holmes,In Progress,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor,id mauris vulputate elementum nullam,Contributing,TR4 Training support inadequate 
AETC,146 AMW,195 W,ANG,Unit 88,Unit 88,CCIP,a feugiat et eros vestibulum,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio,12/15/2014,12/2/2013,6/6/2015,3/26/2015,10/15/2015,228,205.197.125.135,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",A2,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi,Pending,SUB-CATEGORY,1.1.2.3 Root Casue Name,Minor,Alan Stone,Brenda Carpenter,,FALSE,TRUE,TRUE,TRUE,155-82-1360,4/16/2015,Frances Olson,Not Started,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis,in hac habitasse platea dictumst etiam faucibus cursus urna,Primary,TR5 Controls/metrics of training process/progress inadequate 
AMW,129 RQW,195 W,ANG,Unit 94,Unit 94,UEI,venenatis turpis enim,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique,3/15/2015,7/27/2014,9/27/2015,5/3/2015,2/16/2015,177,112.93.218.239,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",A5,vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis,Accepted,SUB-CATEGORY,1.2.3.1 Root Casue Name,Minor,Barbara Ellis,Steven Tucker,,FALSE,TRUE,TRUE,TRUE,736-51-3226,8/20/2015,Pamela Murray,In Progress,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at,massa tempor convallis nulla neque libero convallis eget,Primary,TR6 Initial qualification training inadequate 
ACC,146 AMW,195 W,ANG,Unit 82,Unit 82,UEI,quam pede lobortis,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum,12/24/2014,1/21/2014,9/27/2015,9/21/2015,7/13/2015,565,88.95.228.173,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,SE,quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis,Accepted,SUB-CATEGORY,1.1.4.4 Root Casue Name,Minor,Elizabeth Black,Mark Mccoy,,TRUE,FALSE,TRUE,FALSE,439-69-8708,4/20/2015,Joan Woods,In Progress,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor,sociis natoque penatibus et magnis dis parturient montes nascetur,Primary,TR7 Hands-on training inadequate 
AMW,144 FW,144 FW,ANG,Unit 12,Unit 12,UEI,orci pede venenatis non,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus,6/6/2015,3/24/2015,11/23/2014,4/29/2015,10/27/2015,442,154.82.238.176,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",A4,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis,Implemented,SUB-CATEGORY,1.1.2.4 Root Casue Name,Significant,James Stewart,Roy Sullivan,,FALSE,FALSE,FALSE,FALSE,198-91-6689,12/3/2014,Emily James,Not Started,nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,mattis odio donec vitae nisi nam ultrices,Contributing,LS2 Ineffective communication 
ACC,163 RW,129 RQW,ANG,Unit 86,Unit 86,UEI,elit proin risus praesent,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo,5/1/2014,12/21/2013,11/7/2014,8/3/2015,10/22/2015,549,208.84.178.62,In congue. Etiam justo. Etiam pretium iaculis justo.,A3,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean,Pending,SUB-CATEGORY,1.2.1.4 Root Casue Name,Critcal,Harold Owens,Evelyn Ramos,,TRUE,FALSE,TRUE,TRUE,913-76-8559,11/17/2014,Gregory Myers,In Progress,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis,vulputate justo in blandit ultrices enim lorem,Contributing,LS3 Decision making process ineffective (Risk Management) 
AETC,144 FW,146 AMW,ANG,Unit 88,Unit 88,UEI,nulla ac enim in tempor,semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque,9/26/2015,9/27/2015,5/16/2015,11/29/2014,1/31/2015,60,133.195.249.77,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",SG,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna,Proposed,SUB-CATEGORY,1.4.4.1 Root Casue Name,Minor,Kathleen Phillips,Shawn Nguyen,,FALSE,TRUE,TRUE,TRUE,560-09-8269,8/12/2015,Rebecca Thompson,In Progress,sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante,Contributing,LS4 Workforce effectiveness limited by existing human relations climate 
